nome;nome_pai
Africa;
America;
Europa;
Asia;
Indefinido;
Angola;Africa
Mocambique;Africa
Africa do Sul;Africa
Nigeria;Africa
Brasil;America
Luanda;Angola
Cabinda;Angola
Zaire;Angola
Uige;Angola
Lunda-Norte;Angola
Lunda-Sul;Angola
Malange;Angola
Bengo;Angola
Kwanza-Norte;Angola
Kwanza-Sul;Angola
Huambo;Angola
Bie;Angola
Moxico;Angola
Kuando Kubango;Angola
Benguela;Angola
Huila;Angola
Cunene;Angola
Namibe;Angola
Indefinida;Angola
Belas;Luanda
Cacuaco;Luanda
Cazenga;Luanda
Icolo e Bengo;Luanda
Luanda;Luanda
Kissama;Luanda
Kilamba Kiaxi;Luanda
Talatona;Luanda
Viana;Luanda
Indefinido;Luanda
Indefinido;Africa
Indefinido;America
Indefinido;Europa
Indefinido;Asia
Indefinida;Mocambique
Indefinida;Africa do Sul
Indefinido;Nigeria
Indefinido;Brasil
Indefinido;Cabinda
Indefinido;Zaire
Indefinido;Uige
Indefinido;Lunda-Norte
Indefinido;Lunda-Sul
Indefinido;Malange
Indefinido;Bengo
Indefinido;Kwanza-Norte
Indefinido;Kwanza-Sul
Indefinido;Huambo
Indefinido;Bie
Indefinido;Moxico
Indefinido;Kuando Kubango
Indefinido;Benguela
Indefinido;Huila
Indefinido;Cunene
Indefinido;Namibe